pool,method,active_k,n,run_root,run_name,model_variant,candidate_set
slow_fast,eagle3,1,23,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,eagle3,2,3217,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,eagle3,4,11556,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,eagle3,6,399,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,eagle3,8,9,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,eagle3,10,2,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,eagle3,16,60,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,ngram_sd,1,39,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,ngram_sd,2,118,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,ngram_sd,3,96,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,ngram_sd,4,177,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,ngram_sd,5,139,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
slow_fast,ngram_sd,6,299,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4_balanced,k1_2_4_6_8_10_12_14_16
