method,k,n_workloads,macro_mean_tps,macro_median_tps,macro_mean_latency_s,macro_acceptance_rate,macro_rejection_rate,macro_wasted_token_rate,macro_wasted_token_pct
ngram_sd,16,8,444.8902087808743,306.9826603150249,2.562177920379909,0.18718688059959385,0.8128131194004061,0.8888767420153248,88.88767420153249
ngram_sd,8,8,358.6566883030775,286.42331977949993,2.6878886352467815,0.25113853418704873,0.7488614658129512,0.814911792450348,81.4911792450348
ngram_sd,4,8,289.56794254339394,256.9102361316213,2.9799591857451015,0.33665317533086914,0.6633468246691309,0.7123021597769766,71.23021597769767
ngram_sd,2,8,233.73190594090175,220.4006550776028,3.490548986560898,0.4356308355544134,0.5643691644455866,0.5915990748817682,59.15990748817682
ngram_sd,1,8,196.47561180338445,193.62943335528615,4.079005423298804,0.5228291356572302,0.4771708643427698,0.485510499149388,48.551049914938794
eagle3,1,8,182.8963269258791,180.7900168610193,4.430018167942762,0.08238318662869232,0.9176168133713076,0.9254307315374595,92.54307315374594
eagle3,2,8,172.21687921246573,170.0427716427598,4.712879688255489,0.04303693344684509,0.9569630665531549,0.9610861981963855,96.10861981963856
eagle3,4,8,157.2167183588062,154.8250300081089,5.136520737200044,0.02168997120057243,0.9783100287994275,0.9804076785445377,98.04076785445376
eagle3,8,8,123.0420172222361,120.87241128157945,6.554379088992719,0.010840573391722551,0.9891594266082774,0.99022483834152,99.022483834152
eagle3,16,8,81.88571610770666,80.29302618168455,9.863067990803392,0.0054373380431835825,0.9945626619568163,0.9951000278855391,99.5100027885539
draft_sd,2,8,63.77413635487017,64.29762509777144,12.43356705446029,0.7700309463910255,0.22996905360897438,0.2402794320060464,24.02794320060464
draft_sd,1,8,62.14808228253874,63.127951586046095,12.898914887956344,0.833827064042942,0.16617293595705795,0.16901533373270877,16.901533373270876
draft_sd,4,8,57.16343890102291,56.97538875357694,14.1167260604701,0.6650555989033798,0.33494440109662016,0.3618932916928477,36.18932916928477
draft_sd,8,8,50.595444272889175,48.495520987673856,16.633294511955466,0.5194015492026894,0.48059845079731056,0.533158239492372,53.31582394923719
draft_sd,16,8,37.759346487677696,34.581156536358556,24.88148115213262,0.38035010035850986,0.6196498996414901,0.6970984558313561,69.7098455831356
