method,k,n,mean_tps,median_tps,mean_latency_s,median_latency_s,mean_output_tokens,mean_acceptance_rate,mean_rejection_rate,mean_entropy,total_draft_tokens,total_accepted_tokens,total_rejected_tokens,wasted_token_rate,accepted_token_rate,wasted_token_pct
draft_sd,1,400,62.148082282538745,62.863648067896605,12.898914887956344,8.654194885399193,806.2025,0.8335752929936169,0.16642470700638298,0.25469787737592947,173917.0,148342.0,25575.0,0.14705290454642156,0.8529470954535784,14.705290454642157
draft_sd,2,400,63.77413635487017,63.75832011168545,12.43356705446029,8.8608992875088,805.905,0.7696820107769553,0.23031798922304467,0.25483470501354677,250426.0,197109.0,53317.0,0.21290520952297284,0.7870947904770271,21.290520952297285
draft_sd,4,400,57.16343890102291,55.14923548567637,14.1167260604701,11.097820673370734,806.0275,0.6645468510701874,0.33545314892981254,0.255754802571069,350912.0,234968.0,115944.0,0.3304076235637425,0.6695923764362576,33.040762356374245
draft_sd,8,400,50.595444272889175,45.2570155915875,16.633294511955466,14.267231392441317,806.86,0.518732828416429,0.481267171583571,0.2572877832366387,521896.0,258345.0,263551.0,0.5049875837331576,0.49501241626684245,50.49875837331575
draft_sd,16,400,37.759346487677696,28.981913504432026,24.88148115213262,22.15332419076003,807.1275,0.37955536897464076,0.6204446310253592,0.258101758224428,853328.0,271227.0,582101.0,0.6821538728367053,0.31784612716329474,68.21538728367052
eagle3,1,400,182.89632692587912,181.1800527447304,4.430018167942762,2.889578169910237,806.5825,0.0823538293661347,0.9176461706338652,0.2645080997466647,299385.0,22869.0,276516.0,0.9236134074853449,0.07638659251465504,92.36134074853449
eagle3,2,400,172.21687921246573,170.35342951050234,4.712879688255489,3.078178206458688,806.5125,0.04303034749971365,0.9569696525002863,0.2611559767580052,597542.0,23462.0,574080.0,0.9607358143862691,0.03926418561373092,96.0735814386269
eagle3,4,400,157.21671835880622,155.18273564748688,5.136520737200044,3.3863193274009973,806.5125,0.021687311248036394,0.9783126887519636,0.26205295811417717,1194852.0,23521.0,1171331.0,0.9803147168017462,0.019685283198253842,98.03147168017462
eagle3,8,400,123.0420172222361,121.09294129720261,6.554379088992719,4.409066681517288,803.7525,0.010838579056584004,0.989161420943416,0.26317142406013994,2381192.0,23482.0,2357710.0,0.9901385524560808,0.00986144754391918,99.01385524560808
eagle3,16,400,81.88571610770666,80.3753072574589,9.863067990803392,6.526666043559089,804.135,0.005436089996290088,0.9945639100037098,0.2617790883243169,4763440.0,23571.0,4739869.0,0.9950516853366475,0.004948314663352535,99.50516853366474
ngram_sd,1,400,196.47561180338445,188.6984455367558,4.0790054232988044,3.068381670396775,806.285,0.5223758201924197,0.4776241798075803,0.2620556945105746,183377.0,103157.0,80220.0,0.4374594414784842,0.5625405585215157,43.74594414784842
ngram_sd,2,400,233.73190594090175,210.1194923320336,3.490548986560898,2.8584622459020466,806.3325,0.4351211712015362,0.5648788287984637,0.2588113685067076,301183.0,136107.0,165076.0,0.548092023786203,0.4519079762137969,54.809202378620306
ngram_sd,4,400,289.56794254339394,236.61728919330227,2.9799591857451015,2.6343920920044184,806.3325,0.336112961977326,0.663887038022674,0.2606002421652438,501706.0,161267.0,340439.0,0.6785627439177526,0.3214372560822474,67.85627439177526
ngram_sd,8,400,358.6566883030775,245.65357646555248,2.6878886352467815,2.447468281025067,804.5225,0.25055235221819666,0.7494476477818034,0.261241803398695,865148.0,177118.0,688030.0,0.7952743345647219,0.20472566543527812,79.52743345647218
ngram_sd,16,400,444.89020878087433,252.04656660881489,2.562177920379909,2.428661178564653,804.5225,0.18663605434475836,0.8133639456552416,0.2599192440959996,1562896.0,187996.0,1374900.0,0.8797130455257419,0.12028695447425804,87.9713045525742
