job_id	job_name	kind	log_file	sbatch_file	evidence
6988	apex_eval_survival_utility_controller_v4_balanced__temp0p0__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p0___6988.out		(EngineCore pid=1460378)   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/worker/gpu_worker.py", line 392, in determine_available_memory
6989	apex_eval_survival_utility_controller_v4_balanced__temp0p0__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p0___6989.out		(EngineCore pid=894522)   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/worker/gpu_worker.py", line 392, in determine_available_memory
6990	apex_eval_survival_utility_controller_v4_balanced__temp0p0__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p0___6990.out		(EngineCore pid=182855)   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/worker/gpu_worker.py", line 392, in determine_available_memory
6991	apex_eval_survival_utility_controller_v4_balanced__temp0p1__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p1___6991.out		(EngineCore pid=1152803)   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/worker/gpu_worker.py", line 392, in determine_available_memory
6992	apex_eval_survival_utility_controller_v4_balanced__temp0p1__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p1___6992.out		(EngineCore pid=4025884)   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/worker/gpu_worker.py", line 392, in determine_available_memory
6993	apex_eval_survival_utility_controller_v4_balanced__temp0p1__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p1___6993.out		(EngineCore pid=1863955) ERROR 08-09 22:49:36 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6994	apex_eval_survival_utility_controller_v4_balanced__temp0p5__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p5___6994.out		(EngineCore pid=4030117) ERROR 08-09 22:50:23 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6995	apex_eval_survival_utility_controller_v4_balanced__temp0p5__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p5___6995.out		(EngineCore pid=1156858) ERROR 08-09 22:50:32 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6996	apex_eval_survival_utility_controller_v4_balanced__temp0p5__	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_balanced__temp0p5___6996.out		(EngineCore pid=99344)   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6997	apex_eval_survival_utility_controller_v4_efficient__temp0p0_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p0__6997.out		(EngineCore pid=1464687) ERROR 08-09 22:50:36 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6998	apex_eval_survival_utility_controller_v4_efficient__temp0p0_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p0__6998.out		(EngineCore pid=187187) ERROR 08-09 22:50:59 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6999	apex_eval_survival_utility_controller_v4_efficient__temp0p0_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p0__6999.out		(EngineCore pid=898656)   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/worker/gpu_worker.py", line 392, in determine_available_memory
7000	apex_eval_survival_utility_controller_v4_efficient__temp0p1_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p1__7000.out		(EngineCore pid=1867995) ERROR 08-09 22:51:56 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
7001	apex_eval_survival_utility_controller_v4_efficient__temp0p1_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p1__7001.out		(EngineCore pid=4034329) ERROR 08-09 22:52:53 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
7002	apex_eval_survival_utility_controller_v4_efficient__temp0p1_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p1__7002.out		(EngineCore pid=1160951) ERROR 08-09 22:53:05 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
7003	apex_eval_survival_utility_controller_v4_efficient__temp0p5_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p5__7003.out		(EngineCore pid=1469046) ERROR 08-09 22:53:20 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
7004	apex_eval_survival_utility_controller_v4_efficient__temp0p5_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p5__7004.out		(EngineCore pid=191399) ERROR 08-09 22:52:55 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
7005	apex_eval_survival_utility_controller_v4_efficient__temp0p5_	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_efficient__temp0p5__7005.out		(EngineCore pid=103424) ERROR 08-09 22:52:46 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6979	apex_eval_survival_utility_controller_v4_speed_first__temp0p	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_speed_first__temp0p_6979.out		(EngineCore pid=1855899) ERROR 08-09 22:44:57 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6980	apex_eval_survival_utility_controller_v4_speed_first__temp0p	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_speed_first__temp0p_6980.out		(EngineCore pid=91080) ERROR 08-09 22:45:16 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6981	apex_eval_survival_utility_controller_v4_speed_first__temp0p	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_speed_first__temp0p_6981.out		(EngineCore pid=890530) ERROR 08-09 22:44:52 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
6982	apex_eval_survival_utility_controller_v4_speed_first__temp0p	MEMORY_OOM	slurm_logs/evaluation_jobs/apex_eval_survival_utility_controller_v4_speed_first__temp0p_6982.out		(EngineCore pid=176597) ERROR 08-09 22:45:34 [core.py:1140]   File "/fsx/jmanvi/Internship_project/.venv/lib/python3.11/site-packages/vllm/v1/executor/abstract.py", line 147, in determine_available_memory
